generation,fitness,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13
16,0.88,0.4373028761875624,0.15296676546349836,0.7990249455173325,-0.3783284549197946,-0.24401533932664976,0.23657697716568948,-0.5554304542242118,-0.23414559806754995,-0.2681655990583114,-1.0,0.9109933456006188,-0.3358699312728412,-0.860416092039503,0.5685620660319771
17,0.85,0.6531901501273385,0.05964357801741817,0.6676524848787273,-0.4450115732195972,-0.27906935532935784,-0.058027775256116056,-0.573592956543195,-0.0024966175707277615,-0.17316515354409634,-0.7719366355885435,0.4572311097542801,-0.4449205748963194,-1.0,0.6638066848802001
18,0.88,0.535573941912819,-0.014741346783689546,0.8711510671109699,-0.5081127542153915,-0.5283277798537787,0.3941631199305955,-0.4847067036309286,0.03121045097120176,-0.15130190466171944,-0.9210514351414851,0.9324193699655944,-0.37120534284276624,-0.8912391835443946,0.41082087862512773
19,0.85,0.5071007242484254,-0.17321501583041618,0.5040233643937,-0.31683137903128095,-0.31858141356734404,-0.15348731865844822,-0.5020758785258147,-0.3061002057437261,-0.2711012581619925,-0.752505347848792,0.860266442795404,-0.3286428478995133,-0.8750165359427958,0.7579666337550954
20,0.84,0.868608974543635,0.37599749001296295,0.9585092251152459,-0.379495864894007,-0.2890224211516699,-0.1084639598711737,-0.12831395498518217,-0.2590874092721788,-0.11633759936091731,-0.9334094370909928,0.46119245298830225,-0.27097698886955723,-0.6725982488707918,0.7059618576809686
21,0.87,0.6186303033357907,0.33601875226551925,0.7682258379746567,-0.3633725618383936,-0.25659686821744593,0.03599449303551028,-0.1807977622486338,-0.19694231190670328,-0.2229878965151889,-0.7827825690501584,0.7373423555454072,-0.3287576067318091,-0.9741853551408828,0.7855225171803694
22,0.83,0.4075293427513339,-0.033977637871504984,0.24252440290544536,-0.3652102555258014,-0.2971967404702122,0.029023482505878342,-0.46170343550207343,-0.6283293749933906,-0.4226871143606995,-1.0,0.9621838418832663,-0.42322416959239023,-0.8522537930987458,0.890120170301752
23,0.79,0.883071671746177,0.38188130949024574,0.5357307205682702,-0.2206636864587138,-0.30027136157633194,0.06661817201978949,-0.40733970744659376,-0.3077942003953311,-0.17124795538194484,-0.9012308273180473,0.6084246669534826,-0.39275127714840236,-0.6012440899352697,0.9772403776231671
24,0.78,0.9218632408564041,0.3424148946870827,0.8850625493902493,-0.25447358478316623,-0.2802231392583874,0.07377589796713878,0.11918552172979553,-0.10461409167591348,-0.07363967186664941,-1.0,0.7637907246837871,-0.3003593635445646,-0.9689923555856693,0.8165395287980366
25,0.77,0.6597969120676377,-0.1387416717202473,0.48842506480183917,-0.5021445476432084,-0.4078164765017913,0.011559279149434516,-0.2446123478029619,-0.07563711298815608,-0.2356752016101787,-0.7000015754963101,1.0,-0.32151845617182273,-0.9574092082635686,0.8428799657821067
